<,5>	[0,>     [0,>   [0,>   1
5	[0,>     2    	0      7.34
5	[0,>     2    	1      0.018
5	[0,>     2    	2      2.11
5	[0,>     2    	3      6.57
5	[0,>     2    	4      2.78
5	[0,>     5    	0      4.34
5	[0,>     5    	1      0.01
5	[0,>     5    	2      1.26
5	[0,>     5    	3      4.0
5	[0,>     5    	4      1.71
5	[0,>     9    	0      1.09
5	[0,>     9    	1      0.003
5	[0,>     9    	2      0.32
5	[0,>     9    	3      1.04
5	[0,>     9    	4      0.45
5	[0,>     16    	0      0.26
5	[0,>     16    	1      0.0006
5	[0,>     16    	2      0.079
5	[0,>     16    	3      0.26
5	[0,>     16    	4      0.11
5       [0,>     [0,>   [5,>   1
<5,9]   [0,>     [0,>   [0,>   1
